"filename", "language", "GLSL", "C++", "CMake", "C", "Markdown", "PostCSS", "HTML", "SCSS", "XML", "Objective-C", "JavaScript", "comment", "blank", "total"
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/mingw/xinput.h", "C++", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 33, 240
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/nuklear.h", "C++", 0, 19009, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4909, 1861, 25779
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/nuklear_glfw_gl2.h", "C++", 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 43, 382
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/stb_image_write.h", "C++", 0, 1242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 315, 168, 1725
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/tinycthread.c", "C", 0, 0, 0, 472, 0, 0, 0, 0, 0, 0, 0, 60, 63, 595
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/tinycthread.h", "C++", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 51, 444
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/wayland/fractional-scale-v1.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 18, 103
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/wayland/idle-inhibit-unstable-v1.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 14, 84
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/wayland/pointer-constraints-unstable-v1.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 287, 0, 0, 0, 53, 340
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/wayland/relative-pointer-unstable-v1.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 20, 137
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/wayland/viewporter.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 27, 181
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/wayland/wayland.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2636, 0, 0, 23, 493, 3152
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/wayland/xdg-activation-v1.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 37, 201
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/wayland/xdg-decoration-unstable-v1.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 25, 157
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/wayland/xdg-shell.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1143, 0, 0, 4, 224, 1371
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/CMakeLists.txt", "CMake", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 0, 111, 391
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/DoxygenLayout.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 5, 4, 72
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/SUPPORT.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/build.md", "Markdown", 0, 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 0, 119, 420
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/compat.md", "Markdown", 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 77, 301
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/compile.md", "Markdown", 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 111, 372
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/context.md", "Markdown", 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 96, 341
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/extra.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/extra.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 333, 0, 0, 0, 28, 93, 454
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/footer.html", "HTML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/header.html", "HTML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 2, 35
